Dates,US0001M Index,US0003M Index,BP0003M Index,BP0001M Index,US0006M Index,BP0006M Index
1/3/2000,5.8225,6.00125,6.07844,5.40813,6.13125,6.29031
1/4/2000,5.81,6.0425,6.13813,5.74125,6.20875,6.37438
1/5/2000,5.7925,6.03,6.14313,5.75,6.19375,6.38719
1/6/2000,5.79125,6.03,6.14906,5.75,6.19125,6.39906
1/7/2000,5.79125,6.03,6.13813,5.6975,6.19125,6.38516
1/10/2000,5.78125,6.02625,6.12875,5.70063,6.18125,6.38688
1/11/2000,5.78125,6.03,6.13891,5.73094,6.19125,6.39531
1/12/2000,5.78125,6.03938,6.13938,5.74375,6.20938,6.40109
1/13/2000,5.78125,6.04,6.14906,5.80063,6.22,6.4125
1/14/2000,5.7925,6.04,6.07594,5.69031,6.22125,6.36688
1/17/2000,5.8025,6.03625,6.07984,5.75125,6.215,6.37875
1/18/2000,5.8075,6.035,6.09844,5.76,6.215,6.38125
1/19/2000,5.80875,6.0375,6.11219,5.82781,6.22,6.39781
1/20/2000,5.81,6.04,6.14188,5.89984,6.22,6.41281
1/21/2000,5.81375,6.04,6.14266,5.92063,6.22,6.41281
1/24/2000,5.81875,6.04,6.14813,5.93125,6.22,6.41078
1/25/2000,5.82,6.04,6.15234,5.94031,6.22,6.40688
1/26/2000,5.82125,6.04,6.15188,5.96078,6.22,6.39031
1/27/2000,5.83,6.04,6.15859,5.97453,6.22,6.38703
1/28/2000,5.85625,6.04875,6.16797,6.00375,6.2325,6.39406
1/31/2000,5.885,6.0775,6.22594,6.10609,6.28875,6.42281
2/1/2000,5.905,6.09125,6.24,6.11234,6.3075,6.41438
2/2/2000,5.92375,6.1,6.21688,6.06844,6.32,6.40438
2/3/2000,5.89625,6.0975,6.19313,6.06031,6.32875,6.3875
2/4/2000,5.89,6.09,6.19438,6.06063,6.31375,6.37813
2/7/2000,5.89125,6.1,6.21688,6.06031,6.33,6.39906
2/8/2000,5.89,6.1,6.22828,6.08,6.33,6.41875
2/9/2000,5.89,6.1,6.24125,6.11219,6.32125,6.4175
2/10/2000,5.88875,6.09875,6.25,6.12438,6.3225,6.4175
2/11/2000,5.885,6.09625,6.2525,6.145,6.32375,6.41625
2/14/2000,5.88,6.09,6.23359,6.14188,6.32125,6.39
2/15/2000,5.88,6.09,6.22844,6.14203,6.32,6.39266
2/16/2000,5.88,6.09,6.2625,6.15563,6.32,6.44406
